DATE,WPU08
1990-11-01,126.9
1990-12-01,126.8
1991-01-01,127.6
1991-02-01,127.2
1991-03-01,127.8
1991-04-01,129.2
1991-05-01,132.3
1991-06-01,136.2
1991-07-01,136.9
1991-08-01,133.3
1991-09-01,133.4
1991-10-01,133.2
1991-11-01,133.4
1991-12-01,134.6
1992-01-01,137.6
1992-02-01,142.9
1992-03-01,145.7
1992-04-01,147.5
1992-05-01,147.6
1992-06-01,146.3
1992-07-01,145.3
1992-08-01,145.4
1992-09-01,148.7
1992-10-01,148.7
1992-11-01,149.5
1992-12-01,154.4
1993-01-01,160.2
1993-02-01,169.3
1993-03-01,176.9
1993-04-01,181.2
1993-05-01,179.8
1993-06-01,174.1
1993-07-01,171.7
1993-08-01,171.1
1993-09-01,173.2
1993-10-01,174.0
1993-11-01,177.3
1993-12-01,179.6
1994-01-01,184.6
1994-02-01,183.3
1994-03-01,184.2
1994-04-01,180.3
1994-05-01,178.2
1994-06-01,179.4
1994-07-01,177.4
1994-08-01,177.7
1994-09-01,178.3
1994-10-01,177.8
1994-11-01,179.4
1994-12-01,179.2
1995-01-01,179.6
1995-02-01,179.5
1995-03-01,180.6
1995-04-01,180.4
1995-05-01,179.7
1995-06-01,178.0
1995-07-01,178.2
1995-08-01,177.8
1995-09-01,178.9
1995-10-01,177.2
1995-11-01,174.2
1995-12-01,173.5
1996-01-01,172.9
1996-02-01,173.0
1996-03-01,172.8
1996-04-01,171.9
1996-05-01,175.8
1996-06-01,176.8
1996-07-01,175.0
1996-08-01,177.0
1996-09-01,180.2
1996-10-01,177.8
1996-11-01,180.2
1996-12-01,179.7
1997-01-01,180.6
1997-02-01,183.4
1997-03-01,184.8
1997-04-01,185.4
1997-05-01,186.8
1997-06-01,185.4
1997-07-01,185.9
1997-08-01,185.0
1997-09-01,183.7
1997-10-01,181.1
1997-11-01,181.8
1997-12-01,181.5
1998-01-01,181.1
1998-02-01,182.2
1998-03-01,182.4
1998-04-01,182.5
1998-05-01,180.4
1998-06-01,177.5
1998-07-01,178.5
1998-08-01,179.7
1998-09-01,178.0
1998-10-01,175.5
1998-11-01,175.2
1998-12-01,175.9
1999-01-01,177.2
1999-02-01,179.8
1999-03-01,181.6
1999-04-01,181.6
1999-05-01,183.7
1999-06-01,187.8
1999-07-01,192.0
1999-08-01,189.6
1999-09-01,184.9
1999-10-01,181.0
1999-11-01,181.6
1999-12-01,182.7
2000-01-01,183.8
2000-02-01,184.0
2000-03-01,184.2
2000-04-01,183.0
2000-05-01,179.3
2000-06-01,178.6
2000-07-01,177.0
2000-08-01,174.4
2000-09-01,174.1
2000-10-01,173.9
2000-11-01,173.2
2000-12-01,172.7
2001-01-01,171.6
2001-02-01,171.5
2001-03-01,172.8
2001-04-01,172.9
2001-05-01,179.0
2001-06-01,180.7
2001-07-01,176.7
2001-08-01,176.8
2001-09-01,176.0
2001-10-01,172.3
2001-11-01,171.5
2001-12-01,170.6
2002-01-01,171.7
2002-02-01,173.0
2002-03-01,175.3
2002-04-01,175.6
2002-05-01,174.4
2002-06-01,173.3
2002-07-01,173.3
2002-08-01,173.8
2002-09-01,173.0
2002-10-01,172.3
2002-11-01,171.8
2002-12-01,171.8
2003-01-01,171.7
2003-02-01,173.2
2003-03-01,172.6
2003-04-01,172.9
2003-05-01,173.1
2003-06-01,173.8
2003-07-01,176.9
2003-08-01,177.8
2003-09-01,184.0
2003-10-01,184.1
2003-11-01,184.4
2003-12-01,183.9
2004-01-01,183.3
2004-02-01,189.0
2004-03-01,194.1
2004-04-01,197.7
2004-05-01,201.6
2004-06-01,198.4
2004-07-01,196.5
2004-08-01,202.1
2004-09-01,202.5
2004-10-01,196.7
2004-11-01,191.9
2004-12-01,193.0
2005-01-01,194.6
2005-02-01,198.2
2005-03-01,198.6
2005-04-01,198.3
2005-05-01,195.2
2005-06-01,197.6
2005-07-01,196.0
2005-08-01,194.1
2005-09-01,197.4
2005-10-01,198.0
2005-11-01,194.1
2005-12-01,195.2
2006-01-01,197.5
2006-02-01,198.4
2006-03-01,198.6
2006-04-01,198.3
2006-05-01,198.6
2006-06-01,195.4
2006-07-01,193.9
2006-08-01,191.4
2006-09-01,191.8
2006-10-01,188.7
2006-11-01,189.4
2006-12-01,190.3
2007-01-01,192.1
2007-02-01,192.7
2007-03-01,193.3
2007-04-01,193.3
2007-05-01,193.1
2007-06-01,193.7
2007-07-01,194.4
2007-08-01,193.2
2007-09-01,192.3
2007-10-01,191.1
2007-11-01,189.8
2007-12-01,190.0
2008-01-01,189.3
2008-02-01,189.1
2008-03-01,189.9
2008-04-01,190.5
2008-05-01,193.8
2008-06-01,194.6
2008-07-01,193.5
2008-08-01,193.5
2008-09-01,193.7
2008-10-01,191.1
2008-11-01,188.9
2008-12-01,188.0
2009-01-01,185.3
2009-02-01,183.5
2009-03-01,181.7
2009-04-01,181.2
2009-05-01,180.9
2009-06-01,180.8
2009-07-01,182.8
2009-08-01,183.0
2009-09-01,183.7
2009-10-01,182.7
2009-11-01,183.3
2009-12-01,184.6
2010-01-01,185.8
2010-02-01,190.2
2010-03-01,193.2
2010-04-01,197.2
2010-05-01,200.6
2010-06-01,195.7
2010-07-01,194.0
2010-08-01,192.1
2010-09-01,191.4
2010-10-01,190.5
2010-11-01,190.3
2010-12-01,191.2
2011-01-01,193.4
2011-02-01,194.7
2011-03-01,195.8
2011-04-01,195.6
2011-05-01,194.3
